Rankings	Company	Industry
1404.	Wharf Real Estate Investment	Diversified Financials
1405.	Berry Global Group	Engineering, Manufacturing
1405.	Maanshan Iron & Steel	Materials
1407.	PerkinElmer	Health Care Equipment & Services
1408.	Navient	Diversified Financials
1408.	RTL Group	Media
1410.	Kesko	Food Markets
1411.	Samsung Securities	Diversified Financials
1412.	Quanta Services	Construction
1413.	Beijing Capital Development	Construction
1413.	Far East Horizon	Business Services & Supplies
1415.	Faurecia	Automotive (Automotive and Suppliers)
1416.	Indian Railway Finance	Business Services & Supplies
1417.	Liberty Broadband	Telecommunications Services
1418.	Xiamen International Trade Group	Trading Companies
1419.	AirBnB	IT, Internet, Software & Services
1419.	China Grand Automotive Services	Retailing
1421.	China Eastern Airlines	Transportation
1422.	Adecco	Business Services & Supplies
1422.	AGNC Investment	Diversified Financials
1424.	Westinghouse Air Brake Technologies	Capital Goods
1425.	Kawasaki Kisen Kaisha	Transportation
1426.	Empire	Food Markets
1426.	Guangdong Haid Group	Food, Drink & Tobacco
1426.	Shimano	Consumer Durables
1429.	Attijariwafa Bank	Banking
1429.	Chailease Holding	Business Services & Supplies
1431.	Henry Schein	Health Care Equipment & Services
1432.	Epiroc	Capital Goods
1432.	Suntory Beverage & Food	Food, Drink & Tobacco
1434.	Mettler-Toledo International	Conglomerates
1435.	Wendel	Diversified Financials
1436.	Osaka Gas	Oil & Gas Operations
1437.	Thor Industries	Consumer Durables
1438.	Williams-Sonoma	Retail and Wholesale
1439.	Xiamen Xiangyu	Transportation
1440.	Rivian	Automotive
1441.	KION Group	Transportation and Logistics
1441.	Sino-Ocean Group Holding	Construction
1443.	Olin	Chemicals
1444.	Kimco Realty	Diversified Financials
1445.	Bank of Chongqing	Banking
1445.	Fortinet	Technology Hardware & Equipment
1447.	Church & Dwight	Packaged Goods
1448.	Wistron	Technology Hardware & Equipment
1449.	ServiceNow	IT Software & Services
1450.	Align Technology	Health Care Equipment & Services
1451.	Mohawk Industries	Consumer Durables
1452.	SS&C Technologies	IT Software & Services
1453.	Adani Enterprises	Conglomerate
1454.	Advance Auto Parts	Retailing
1455.	West Japan Railway	Transportation
1456.	Franco-Nevada	Materials
1457.	Unicharm	Household & Personal Products
1458.	XP	IT Software & Services
1459.	Duke Realty	Diversified Financials
1460.	Valeo	Consumer Durables
1461.	AVIC Capita	Diversified Financials
1462.	Ahli United Bank	Banking
1462.	UGI	Oil & Gas Operations
1464.	Teradyne	Semiconductors
1465.	Avery Dennison	Materials
1466.	SGS	Business Services & Supplies
1467.	Covivio	Diversified Financials
1468.	First Citizens Bank (NC)	1898
1468.	Ningxia Baofeng Energy Group	Materials
1470.	Metalurgica Gerdau	Materials
1471.	Charoen Pokphand Foods	Food, Drink & Tobacco
1472.	IndusInd Bank	Banking
1473.	Orient Securities	Diversified Financials
1474.	Brookfield Renewable	Utilities
1474.	Verisk Analytics	Insurance
1476.	Ventas	Diversified Financials
1477.	Cooper Companies	Health Care Equipment & Services
1478.	Erdemir	Materials
1479.	Gartner	Business Services & Supplies
1480.	SLM	Business Services & Supplies
1481.	Atmos Energy	Utilities
1482.	BCI-Banco Credito	Banking
1483.	Lotte Shopping	Retailing
1484.	China CSSC Holdings	Capital Goods
1485.	Synovus	Banking
1486.	Iida Group Holdings	Construction
1487.	Thai Beverage	Food, Drink & Tobacco
1488.	Equifax	Business Services & Supplies
1488.	Kingspan Group PLC	Construction
1490.	Newcrest Mining	Materials
1491.	Kerry Properties	Construction
1492.	Globe Life	Insurance
1493.	Bank of Jinzhou	Banking
1494.	Bank of East Asia	Banking
1495.	Marfrig Global Foods	Food, Drink & Tobacco
1496.	Vipshop Holdings	Retailing
1497.	Acciona	Construction
1498.	Hilton	Travel & Leisure
1498.	Sinotruk Hong Kong	Capital Goods
1500.	BorgWarner	Automotive (Automotive and Suppliers)
1501.	Nu Holdings	IT Software & Services
1502.	Adient	Consumer Durables
1503.	Unibail-Rodamco	Construction
1504.	Zebra Technologies	Technology Hardware & Equipment
1505.	VeriSign	IT Software & Services
1506.	KakaoBank	Banking
1507.	Hyundai Glovis	Transportation
1508.	A2A	Utilities
1509.	JM Smucker	Food, Soft Beverages, Alcohol & Tobacco
1510.	Incyte	Drugs & Biotechnology
1511.	Geberit	Construction
1511.	Zhongyuan Bank	Banking
1513.	Performance Food Group	Food, Drink and Tobacco
1514.	Advanced Info Service	Telecommunications Services, Cable Supplier
1515.	Martin Marietta Materials	Construction
1516.	Boston Properties	Diversified Financials
1516.	KGHM Polska Miedz	Materials
1518.	Agility	Transportation
1518.	Fukuoka Financial Group	Banking
1520.	Wharf (Holdings)	Conglomerates
1521.	Amerco	Business Services & Supplies
1522.	Gecina	Diversified Financials
1522.	Mondi	Materials
1524.	Halyk Bank	Banking
1525.	Bank of India	Banking
1525.	RHB Bank	Banking
1527.	Commercial Bank of Qatar 	Banking
1528.	Virgin Money UK	Banking
1529.	Las Vegas Sands	Hotels, Restaurants & Leisure
1529.	US Foods	Food, Soft Beverages, Alcohol & Tobacco
1531.	FleetCor Technologies 	Business Services & Supplies
1531.	Nitori Holdings	Retailing
1531.	Sonova Holding	Health Care Equipment & Services
1534.	Keppel	Conglomerates
1535.	Crown Holdings	Engineering, Manufacturing
1535.	Rexel	Retail and Wholesale
1537.	Alliant Energy	Utilities
1538.	SinoPac Financial	Banking
1539.	B3	Diversified Financials
1540.	Shiseido	Packaged Goods
1541.	China Nuclear Engineering Corporation	Construction
1542.	Ingersoll Rand	Capital Goods
1542.	Mebuki Financial Group	Banking
1544.	Concordia Financial Group	Banking
1545.	WEG	Capital Goods
1546.	Wheaton Precious Metals	Materials
1547.	Aroundtown 	Construction
1548.	Medipal Holdings	Drugs & Biotechnology
1549.	Phosagro	Chemicals
1550.	Huafa Industrial	Construction
1550.	Tongkun Group	Materials
1552.	Scentre Group	Diversified Financials
1553.	NIPPON EXPRESS HOLDINGS	Transportation
1553.	Taisei	Construction
1555.	Kumho Petrochemical	Chemicals
1556.	Globalfoundries	Semiconductors
1557.	Atlassian	IT Software & Services
1558.	All Nippon Airways	Transportation
1559.	Chiba Bank	Banking
1560.	Vietin Bank	Banking
1561.	EQT	Oil & Gas Operations
1562.	West Pharmaceutical Services	Drugs & Biotechnology
1563.	China Everbright International	Business Services & Supplies
1563.	Hoa Phat Group	Materials
1565.	Nine Dragons Paper Holdings	Materials
1566.	Adani Ports & Special Economic Zone	Transportation
1566.	Bank of Guizhou	Banking
1568.	New Residential Investment	Diversified Financials
1569.	Kingdom Holding	Diversified Financials
1570.	Adani Green Energy	Utilities
1571.	Fortive	Technology Hardware & Equipment
1571.	Rocket Companies	Business Services & Supplies
1573.	Banca MPS	Banking
1573.	Knorr-Bremse	Consumer Durables
1575.	HNA Technology	Transportation
1575.	Oriental Land	Media
1577.	News Corp	Media
1578.	China Resources Gas Group	Oil & Gas Operations
1579.	Momentum Metropolitan Holdings	Diversified Financials
1579.	Royalty Pharma	Drugs & Biotechnology
1581.	Avantor	Chemicals
1581.	OneMain Holdings	Business Services & Supplies
1583.	Vulcan Materials	Construction
1584.	Hokuhoku Financial Group	Banking
1585.	Kiwoom Securities	Diversified Financials
1586.	Palo Alto Networks	Technology Hardware & Equipment
1587.	Chugoku Electric Power	Utilities
1588.	DXC Technology	Business Services & Supplies
1588.	Metro Group	Food Markets
1588.	Shionogi	Drugs & Biotechnology
1591.	Snowflake	IT Software & Services
1592.	Owens Corning	Construction
1593.	Harel Insurance Investments & Financial Services	Insurance
1593.	Inner Mongolia Yitai Coal	Materials
1593.	NH Investment & Securities	Diversified Financials
1596.	Quilter	Diversified Financials
1597.	HF Sinclair	Oil & Gas Operations
1597.	Korea Shipbuilding & Offshore Engineering	Capital Goods
1599.	Samsung Electro-Mechanics	Technology Hardware & Equipment
1600.	Invitation Homes	Diversified Financials
1601.	ZTO Express (Cayman)	Transportation
1602.	Tingyi Holding	Food, Drink & Tobacco
1603.	Workday	IT Software & Services
1604.	Shizuoka Bank	Banking
1605.	Check Point Software	IT Software & Services
1606.	Commercial Bank For Investment & Development Of Vietnam	Banking
1606.	Qorvo	Semiconductors
1608.	Kaspi.kz JSC	Diversified Financials
1608.	Stifel Financial	Diversified Financials
1608.	YPF 	Oil & Gas Operations
1611.	Bank Albilad	Banking
1612.	Evolution Gaming Group AB	Hotels, Restaurants & Leisure
1613.	LG Innotek Co.,	Technology Hardware & Equipment
1614.	NiSource	Oil & Gas Operations
1615.	AB Sagax	Construction
1615.	SDIC Capital	Household & Personal Products
1617.	Hachijuni Bank	Banking
1617.	Sumitomo Forestry Co.,	Construction
1619.	Kyushu Financial Group	Banking
1619.	Trip.com Group	Business Services & Supplies
1621.	China Northern Rare Earth High-Tech	Materials
1622.	Snap	IT Software & Services
1623.	K+S	Chemicals
1624.	Bank of Tianjin	Banking
1624.	Investec	Diversified Financials
1626.	Nishi-nippon Financial Holdings	Banking
1627.	Commercial International Bank	Banking
1627.	NortonLifeLock	IT Software & Services
1629.	CrowdStrike	IT Software & Services
1630.	Japan Securities	Business Services & Supplies
1631.	Clal Insurance Enterprises 	Insurance
1632.	Xinyu Iron & Steel	Capital Goods
1633.	Interactive Brokers Group	Diversified Financials
1633.	Sino Biopharmaceutical	Drugs & Biotechnology
1635.	LG Household & Health Care	Household & Personal Products
1636.	Dai Nippon Printing	Business Services & Supplies
1636.	North Pacific Bank	Banking
1638.	Aena	Transportation
1639.	Nitto Denko	Chemicals
1640.	World Fuel Services	Trading Companies
1641.	Akelius Residential Property	Construction
1641.	Hong Leong Financial	Business Services & Supplies
1643.	Bank of Kyoto	Banking
1644.	Meritz Securities	Diversified Financials
1644.	Shinsei Bank	Banking
1646.	China Development Bank Financial Leasing	Banking
1647.	BOK Financial	Banking and Financial Services
1647.	Yamaguchi Financial	Banking
1649.	China Communications Services	Telecommunications Services
1649.	Ganfeng Lithium	Chemicals
1649.	Usiminas	Materials
1652.	Banco Comercial Portugues	Banking and Financial Services
1652.	New York Community Bancorp	Banking
1654.	Castellum	Construction
1655.	Wacker Chemie	Chemicals
1656.	Rajesh Exports	Consumer Durables
1657.	Bawag Group	Banking
1657.	Sinotrans Ltd.	Transportation
1659.	Will Semiconductor	Semiconductors
1660.	DexCom	Health Care Equipment & Services
1661.	CPI Property Group	Construction
1661.	Harbin Bank	Banking
1661.	Kingboard Holdings	Chemicals
1664.	Autodesk	IT, Internet, Software & Services
1664.	China Shipbuilding Industry	Capital Goods
1666.	Ceconomy	Retail and Wholesale
1666.	Hirogin Holdings	Banking
1668.	Twitter	IT Software & Services
1669.	Jyske Bank	Banking
1670.	Hengyi Petrochemical 	Chemicals
1671.	Cerner	Health Care Equipment & Services
1672.	Gunma Bank	Banking
1672.	Sahara International Petrochemical	Chemicals
1674.	Bank of Zhengzhou	Banking
1675.	China Merchants Port Holdings	Transportation
1676.	WPG Holdings	Trading Companies
1677.	Sunny Optical Technology Group	Technology Hardware & Equipment
1678.	Zheshang Development Group	Construction
1679.	Bank Pekao	Banking
1679.	Singapore Airlines	Transportation
1679.	United Natural Foods	Food Markets
1682.	Uniqa	Insurance
1683.	Next	Clothing, Shoes, Sports Equipment
1684.	China Resources Beer (Holdings)	Food Markets
1685.	STRABAG	Construction
1686.	Asian Paints	Chemicals
1686.	Chang Hwa Bank	Banking
1686.	Huntsman	Chemicals
1689.	Doosan	Trading Companies
1689.	SBA Communications	Diversified Financials
1691.	Datadog	IT Software & Services
1691.	LG Uplus	Telecommunications Services
1691.	Organon	Drugs & Biotechnology
1691.	PBF Energy	Construction, Oil & Gas Operations, Mining and Chemicals
1695.	Iveco Group	Consumer Durables
1696.	Arca Continental	Food, Drink & Tobacco
1696.	Shanghai Commercial & Savings Bank	Banking
1698.	Piraeus Financial Holdings	Banking
1699.	Daishi Hokuetsu Financial Group	Banking
1699.	ResMed	Health Care Equipment & Services
1701.	BJ's Wholesale Club	Retailing
1701.	PVH	Household & Personal Products
1703.	77 Bank	Banking
1704.	Petro Rabigh	Oil & Gas Operations
1705.	Adani Transmission	Utilities
1706.	Zalando	Clothing, Shoes, Sports Equipment
1707.	Eurobank Ergasias	Banking
1707.	Pool	Trading Companies
1709.	Chugoku Bank	Banking
1709.	M3	Health Care Equipment & Services
1711.	Sumec Corporation	Conglomerates
1712.	Aramark	Hotels, Restaurants & Leisure
1712.	China Industrial Securities	Diversified Financials
1712.	Focus Media Information Technology	Media
1715.	Ramsay Health Care	Health Care Equipment & Services
1716.	Cullen/Frost Bankers	Banking
1717.	Live Nation Entertainment	Travel & Leisure
1718.	Emera	Utilities
1719.	Hoshine Silicon Industry	Chemicals
1720.	Qinghai Salt Lake Industry	Chemicals
1721.	Starwood Property Trust	Diversified Financials
1722.	Nexi S.p.A.	IT Software & Services
1723.	AECOM Technology	Construction
1723.	Alpha Bank	Banking
1723.	BayWa	Construction, Oil & Gas Operations, Mining and Chemicals
1726.	SQM	Chemicals
1727.	FMC	Chemicals
1728.	Shaw Communications	Telecommunications Services, Cable Supplier
1729.	Bausch Health Companies	Health Care Equipment & Services
1729.	Tech Mahindra	IT Software & Services
1731.	Var Energi ASA	Oil & Gas Operations
1732.	Bank of Qingdao	Banking
1732.	Mitsubishi Motors	Consumer Durables
1734.	Moscow Exchange	Diversified Financials
1735.	Rite Aid	Retailing
1736.	Waters	Health Care Equipment & Services
1737.	Li Ning	Household & Personal Products
1738.	Abu Dhabi Islamic Bank	Banking
1739.	Jiangxi Bank	Banking
1739.	Mercuries & Associates	Insurance
1741.	BeiGene	Drugs & Biotechnology
1742.	Pan Pacific International Holdings	Retailing
1743.	EXOR	Diversified Financials
1744.	Daito Trust Construction	Construction
1744.	Synnex Technology Intl	Trading Companies
1746.	Adani Total Gas	Oil & Gas Operations
1746.	WuXi Biologics	Drugs & Biotechnology
1748.	Johnson Matthey	Chemicals
1749.	Bayan Resources	Materials
1750.	Burlington Stores	Retailing
1750.	Credito Emiliano	Banking
1752.	Alfresa Holdings	Drugs & Biotechnology
1752.	Bandai Namco Holdings	Consumer Durables
1752.	FAW Jiefang Group	Consumer Durables
1755.	Constellation Software	IT, Internet, Software & Services
1756.	Bajaj Auto	Consumer Durables
1756.	Chewy	Retail and Wholesale
1758.	Shandong Hualu-Hengsheng Chemical	Chemicals
1759.	Avenue Supermarts	Retailing
1760.	Lindt & Sprungli	Food, Soft Beverages, Alcohol & Tobacco
1761.	SKF Group	Engineering, Manufacturing
1762.	Iyo Bank	Banking
1763.	Juroku  Financial Group	Banking
1764.	Akamai Technologies	IT, Internet, Software & Services
1764.	EMS-Chemie Holding	Drugs & Biotechnology
1766.	Medical Properties Trust	Diversified Financials
1767.	Taiwan Business Bank	Banking
1768.	Zhejiang Chint Electrics	Capital Goods
1769.	Newell Brands	Consumer Durables
1770.	First Pacific	Diversified Financials
1771.	Bank of Jiujiang	Banking
1772.	DGB Financial Group	Banking
1772.	Power Assets Holdings	Utilities
1774.	Xinyi Glass Holdings	Consumer Durables
1775.	Toll Brothers	Construction
1776.	PIK Group	Diversified Financials
1777.	Foot Locker	Clothing, Shoes, Sports Equipment
1778.	Bank of Suzhou	Banking
1779.	Hyundai Engineering	Construction
1780.	American Equity Investment	Insurance
1781.	Advantest	Semiconductors
1782.	Avnet	Trading Companies
1783.	Hyakugo Bank	Banking
1784.	Lucid Motors	Automotive
1785.	CSPC Pharmaceutical Group	Drugs & Biotechnology
1786.	ATOS	IT Software & Services
1786.	Manpower	Business Services & Supplies
1788.	Hotai Motor	Consumer Durables
1788.	Smoore International Holdings	Food, Drink & Tobacco
1790.	Clorox	Packaged Goods
1790.	DCC	Conglomerates
1790.	Gjensidige Forsikring	Insurance
1793.	Ford Otosan	Consumer Durables
1794.	Bank of Queensland	Banking
1795.	Fortune Brands Home & Security	Construction
1795.	Lear	Consumer Durables
1795.	Service Corp Intl	Business Services & Supplies
1798.	Korea Zinc	Materials
1798.	Qingdao Rural Commercial Bank	Banking
1800.	Tosoh	Chemicals
1801.	DoorDash	IT Software & Services
1802.	Cloudflare	Business Services & Supplies
1803.	Jointown Pharmaceutical Group	Health Care Equipment & Services
1803.	Showa Denko	Chemicals
1805.	Kawasaki Heavy Industries	Conglomerates
1806.	Deutsche Pfandbriefbank	Banking
1807.	NIO	Consumer Durables
1807.	Ultrapar Participacoes	Oil & Gas Operations
1809.	American National Group	Insurance
1810.	Ogaki Kyoritsu Bank	Banking
1811.	Bendigo & Adelaide Bank	Banking
1812.	Tongling Nonferrous Metals	Materials
1813.	Electric Power Development	Utilities
1814.	Salzgitter	Materials
1814.	Suzuken	Drugs & Biotechnology
1816.	Shiga Bank	Banking
1817.	Sartorius	Health Care Equipment & Services
1818.	Tsim Sha Tsui Properties	Construction
1819.	Qilu Bank	Banking
1820.	Horizon Therapeutics Public Limited Company	Drugs & Biotechnology
1821.	Prysmian	Capital Goods
1822.	Crescent Point Energy	Oil & Gas Operations
1823.	Info Edge India	IT Software & Services
1824.	FinecoBank	Banking
1825.	Hubei Biocause Pharmaceutical	Chemicals
1825.	ICON (Ireland)	Drugs & Biotechnology
1827.	Yunnan Copper Co. Ltd.	Materials
1828.	Booz Allen Hamilton Holding	Business Services & Supplies
1829.	Red Eléctrica	Utilities
1830.	Senshu Ikeda Holdings	Banking
1831.	Banca Popolare di Sondrio	Banking
1831.	Zhejiang Expressway Co. Ltd.	Transportation
1833.	WSP	Construction
1834.	LPL Financial Holdings	Diversified Financials
1834.	Mid-america Apartment Communities	Diversified Financials
1834.	Titan (India)	Consumer Durables
1837.	Beijing Oriental Yuhong Waterproof Technology	Chemicals
1837.	Sistema	Telecommunications Services
1839.	Wayfair	Retail and Wholesale
1839.	Zscaler	Business Services & Supplies
1841.	Dangote Cement	Construction
1841.	Ricoh	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
1843.	Trade Desk	Media
1844.	Chr. Hansen Holding	Chemicals
1845.	JD Sports Fashion	Retailing
1846.	Aeroports de Paris	Transportation
1846.	Banque Cantonale Vaudoise	Banking
1848.	Amadeus IT Group 	IT, Internet, Software & Services
1849.	Bank of Lanzhou	Banking
1850.	Digital China Group	Telecommunications Services
1850.	Korean Air	Transportation
1850.	San-In Godo Bank	Banking
1853.	CPFL Energia	Utilities
1854.	Airports of Thailand	Transportation
1855.	Nanto Bank	Banking
1856.	Toho Bank	Banking
1856.	Veeva Systems	IT Software & Services
1858.	Aier Eye Hospital Group	Health Care Equipment & Services
1859.	Keiyo Bank	Banking
1860.	Abrdn	Insurance
1860.	Kyndryl Holdings	Business Services & Supplies
1860.	Qurate Retail Group	Retail and Wholesale
1863.	Cosco Shipping Development	Transportation
1863.	Huaibei Mining Holdings	Capital Goods
1863.	Inventec	Technology Hardware & Equipment
1866.	Hanwa	Trading Companies
1866.	PT Saratoga Investama Sedaya	Diversified Financials
1866.	Saputo	Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)
1866.	Shimizu	Construction
1870.	E-L Financial	Insurance
1871.	Basler Kantonalbank	Banking
1872.	Snap-on	Consumer Durables
1873.	Luzerner Kantonalbank	Banking
1874.	Zhangzhou Pientzehuang Pharmaceutical	Drugs & Biotechnology
1875.	Kinnevik	Diversified Financials
1875.	Vietnam Technological & Commercial Joint Stock Bank	Banking
1877.	FIBI Holdings	Banking
1878.	WESCO International	Automotive (Automotive and Suppliers)
1878.	Yunnan Yuntianhua	Chemicals
1880.	SITC International Holdings	Transportation
1881.	Anhui Water Resources Development	Utilities
1881.	Tokyo Kiraboshi Financial Group	Banking
1883.	Tenneco	Consumer Durables
1884.	PacWest Bancorp	Banking
1885.	Bank Of Gansu	Banking
1886.	Barry Callebaut	Food, Drink & Tobacco
1886.	Grupa LOTOS	Oil & Gas Operations
1888.	Yunnan Energy New Material	Consumer Durables
1889.	SCA	Household & Personal Products
1890.	ACWA Power	Utilities
1891.	F&F	Consumer Durables
1891.	PennyMac Financial Services	2008
1893.	Aareal Bank	Diversified Financials
1893.	Essex Property Trust	Diversified Financials
1893.	Nanjing Iron & Steel	Materials
1893.	Samsung SDS	IT Software & Services
1897.	Aozora Bank	Banking
1898.	Electrolux Group	Consumer Durables
1899.	Azrieli Group	Construction
1899.	Brown & Brown	Insurance
1901.	Times Property Holdings	Construction
1902.	Gold Fields	Materials
1903.	Commerce Bancshares	1865
1904.	TMB Bank	Banking
1905.	China Aviation Oil	Oil & Gas Operations
1906.	Nippon Steel Trading	Trading Companies
1907.	Webster Financial	Banking
1908.	Novatek Microelectronics Corp.	Semiconductors
1908.	Persimmon	Construction
1910.	Seagen	Drugs & Biotechnology
1911.	Commercial Metals	Materials
1912.	MongoDB	Business Services & Supplies
1913.	Bank of Xi'an	Banking
1913.	Grifols	Drugs & Biotechnology
1915.	Murphy USA	Retailing
1916.	Cencosud	Retailing
1917.	Ares Management	1997
1917.	Kiyo Bank 	Banking
1919.	Shandong Iron and Steel	Materials
1920.	Parkland	Trading Companies
1921.	Central Bank of India	Banking
1922.	Galaxy Entertainment	Hotels, Restaurants & Leisure
1923.	Teledyne Technologies	Aerospace & Defense
1924.	Dexus	Diversified Financials
1925.	Palantir Technologies	IT Software & Services
1926.	Rothschild & Co.	Diversified Financials
1926.	Wintrust Financial	Banking
1928.	CoStar Group	IT Software & Services
1929.	Banque Centrale Populaire	Banking
1929.	Mr. Cooper Group	1994
1931.	Xiamen Xinde	Transportation
1932.	Ayala Corp	Conglomerate
1932.	Shanghai Fosun Pharmaceutical	Drugs & Biotechnology
1932.	Shenzhen Inovance Technology	Capital Goods
1935.	Genmab	Drugs & Biotechnology
1936.	Ansys	IT Software & Services
1937.	TMX Group	Diversified Financials
1938.	Gap	Clothing, Shoes, Sports Equipment
1939.	Hyakujushi Bank	Banking
1940.	ASM International	Semiconductors
1940.	Tokyu Fudosan	Construction
1942.	Albemarle	Construction, Oil & Gas Operations, Mining and Chemicals
1943.	Bradespar	Diversified Financials
1944.	Aristocrat Leisure	Consumer Durables
1945.	Hainan Airlines Holding	Transportation
1945.	Metropolitan Bank & Trust	Banking
1947.	Robert Half International	Business Services & Supplies
1948.	Shanghai Yuyuan Tourist Mart	Retailing
1949.	Bread Financial Holdings	Business Services & Supplies
1949.	Healthpeak Properties	Diversified Financials
1949.	Steris	Health Care Equipment & Services
1949.	Yamada Denki	Retailing
1953.	XPO	Transportation and Logistics
1954.	Hera	Utilities
1954.	Intco Medical Technology	Health Care Equipment & Services
1956.	ADNOC Drilling	Oil & Gas Operations
1956.	Hokkoku Financial Holdings	Banking
1956.	Shenzhou International Group Holdings	Household & Personal Products
1959.	Far Eastern New Century	Capital Goods
1959.	Farfetch	IT Software & Services
1959.	Huali Industrial Group	Household & Personal Products
1959.	Jindal Steel & Power	Materials
1963.	Mashreq Bank	Banking
1964.	Zall Smart Commerce Group	Construction
1965.	FCC	Construction
1965.	VEON	Telecommunications Services
1967.	AviChina Industry & Technology	Aerospace & Defense
1967.	Masco	Construction
1967.	Weihai City Commercial Bank	Banking
1970.	Cadence Bank	Banking
1970.	Yamato Holdings	Transportation
1972.	Musashino Bank	Banking
1972.	Pinnacle Bank	Banking and Financial Services
1974.	Jinshang Bank	Banking
1974.	Seiko Epson	Business Services & Supplies
1976.	Ampol 	Oil & Gas Operations
1976.	JB Financial Group	Banking
1976.	Tapestry	Retailing
1979.	Logitech International	Technology Hardware & Equipment
1980.	Fertiglobe	Chemicals
1980.	WT Microelectronics	Trading Companies
1982.	Group 1 Automotive	Retailing
1983.	Unity Software	IT Software & Services
1984.	China Petroleum Engineering	Oil & Gas Operations
1984.	Li Auto	Consumer Durables
1986.	Swedish Match	Food, Drink & Tobacco
1986.	Twilio	IT Software & Services
1986.	Whitecap Resources	Oil & Gas Operations
1989.	EFG International	Banking
1989.	Grandjoy Holdings Group	Diversified Financials
1991.	Kloeckner & Co	Materials
1992.	Match Group	IT Software & Services
1993.	Onex	Diversified Financials
1993.	Wingtech Technology	Technology Hardware & Equipment
1995.	Aperam	Materials
1995.	Shenzhen Feima International Supply Chain	Business Services & Supplies
1997.	NMDC	Materials
1997.	Sichuan Changhong Electric	Consumer Durables
1999.	Satellite Chemical	Chemicals
2000.	Sun Communities	Business Services & Supplies
