Rankings	Company	Industry
327.	The Saudi National Bank	Banking
328.	Richemont	Clothing, Shoes, Sports Equipment
329.	Kering	Clothing, Shoes, Sports Equipment
329.	Saudi Electricity	Utilities
331.	Danone	Food, Soft Beverages, Alcohol & Tobacco
332.	Nippon Steel 	Materials
333.	LG Chem	Chemicals
334.	Discover Financial Services	Banking and Financial Services
335.	Couche Tard	Food Markets
336.	Huaxia Bank	Banking
337.	NN Group	Insurance
338.	Fannie Mae	Business Services & Supplies
339.	Fresenius	Health Care Equipment & Services
340.	Marsh & McLennan	Insurance
341.	Ameriprise Financial	Diversified Financials
341.	Becton Dickinson	Health Care Equipment & Services
343.	Panasonic	Consumer Durables
344.	MS&AD Insurance	Insurance
345.	Orix	Business Services & Supplies
346.	Citic Securities	Diversified Financials
347.	First Abu Dhabi Bank	Banking
348.	BCE	Telecommunications Services
349.	Schlumberger	Oil & Gas Operations
350.	Texas Instruments	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
351.	Bank Rakyat Indonesia (BRI)	Banking
352.	Standard Chartered	Banking
353.	CRH	Construction, Oil & Gas Operations, Mining and Chemicals
354.	Bank of Beijing	Banking
355.	Paramount	Media
356.	Bank Of Jiangsu	Banking
357.	DuPont de Nemours	Construction, Oil & Gas Operations, Mining and Chemicals
358.	Gree Electric Appliances	Consumer Durables
359.	Indian Oil	Oil & Gas Operations
360.	Dollar General	Retailing
361.	Kraft Heinz Company	Food, Soft Beverages, Alcohol & Tobacco
362.	Wilmar International	Food, Drink & Tobacco
363.	Freddie Mac	Business Services & Supplies
364.	Hewlett Packard Enterprise	IT, Internet, Software & Services
365.	Japan Tobacco	Food, Drink & Tobacco
366.	Poste Italiane	Insurance
367.	United Overseas Bank	Banking
368.	China Unicom	Telecommunications Services
369.	Valero Energy	Oil & Gas Operations
370.	CSX	Transportation
371.	Danske Bank	Banking
371.	Fortescue Metals Group	Materials
373.	China Railway Construction	Construction
374.	Moderna	Drugs & Biotechnology
374.	Woolworths	Food Markets
376.	Anhui Conch Cement	Construction
377.	Adobe	IT, Internet, Software & Services
378.	Hartford Financial Services	Insurance
379.	State Street	Banking
380.	Al Rajhi Bank	Banking
381.	Power Construction Corporation of China	Construction
382.	Shin-Etsu Chemical	Chemicals
383.	Fiserv	Business Services & Supplies
383.	Regeneron Pharmaceuticals	Drugs & Biotechnology
385.	ENEOS Holdings	Oil & Gas Operations
386.	Tata Consultancy Services	IT Software & Services
387.	Sompo	Insurance
388.	OMV Group	Oil & Gas Operations
388.	Swiss Life Holding	Insurance
390.	Bank Of Shanghai	Banking
391.	American Tower	Telecommunications Services, Cable Supplier
392.	Pioneer Natural Resources	Oil & Gas Operations
393.	Sun Hung Kai Properties	Construction
394.	Wanhua Chemical Group	Chemicals
395.	Sampo	Insurance
396.	China Merchants Shekou Industrial Zone Holdings	Construction
